kierunek;wynagrodzenie;uczelnia;rok;forma;poziom;wskaznik;binary;województwo;stopa_bezr;absolwenci;kierunki
 Finanse, rachunkowość i ubezpieczenia ;4817,52; Uniwersytet Warszawski ;2018;Niestacjonarne;II stopnia; 0.91 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
Kierunki humanistyczne;3966,05; Uniwersytet Warszawski ;2018;Niestacjonarne;II stopnia; 0.88 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Logistyka i administrowanie w mediach ;4104,64; Uniwersytet Warszawski ;2018;Niestacjonarne;I stopnia; 0.88 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Informatyka i ekonometria ;4325,66; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.87 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
Kierunki humanistyczne;5260,62; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.86 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Gospodarka przestrzenna ;4039,37; Uniwersytet Warszawski ;2018;Niestacjonarne;II stopnia; 0.84 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Administracja ;4614,26; Uniwersytet Warszawski ;2018;Niestacjonarne;II stopnia; 0.83 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Prawo ;5152,61; Uniwersytet Warszawski ;2018;Stacjonarne;Jednolite-magisterskie; 0.82 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 International Business Program ;5481,77; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.82 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
Kierunki humanistyczne;4614,82; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.82 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Gospodarka przestrzenna ;3828,54; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.8 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
Kierunki humanistyczne;4343,79; Uniwersytet Warszawski ;2018;Niestacjonarne;II stopnia; 0.8 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Ekonomia ;4875,59; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.8 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Finanse, rachunkowość i ubezpieczenia ;3725,81; Uniwersytet Warszawski ;2018;Niestacjonarne;I stopnia; 0.8 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Finanse, inwestycje i rachunkowość ;4237,23; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.8 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Finanse, rachunkowość i ubezpieczenia ;3954,3; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.79 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Samorząd terytorialny i polityka regionalna ;4251,57; Uniwersytet Warszawski ;2018;Niestacjonarne;II stopnia; 0.79 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Finanse, rachunkowość i ubezpieczenia ;3954,3; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.79 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
Kierunki humanistyczne;4062,83; Uniwersytet Warszawski ;2018;Niestacjonarne;II stopnia; 0.79 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Geologia stosowana ;4100,37; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.78 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
 Bezpieczeństwo wewnętrzne ;4143,13; Uniwersytet Warszawski ;2018;Niestacjonarne;II stopnia; 0.78 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;4534,16; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.78 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Bioinformatyka i biologia systemów ;5303,05; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.77 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
 Finanse, rachunkowość i ubezpieczenia ;4186; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.77 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
Kierunki humanistyczne;4282; Uniwersytet Warszawski ;2018;Niestacjonarne;II stopnia; 0.75 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Kryminologia ;3488,89; Uniwersytet Warszawski ;2018;Niestacjonarne;II stopnia; 0.75 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Kryminologia ;3488,89; Uniwersytet Warszawski ;2018;Niestacjonarne;II stopnia; 0.75 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Międzykierunkowe studia ekonomiczno - menedżerskie ;4032,92; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.75 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Ekonomia ;4227,45; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.74 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
Kierunki humanistyczne;3770,25; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.74 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Zarządzanie ;3968,38; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.73 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
Kierunki humanistyczne;4233,7; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.73 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Prawo finansowe i skarbowość ;4203,11; Uniwersytet Warszawski ;2018;Niestacjonarne;II stopnia; 0.73 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Stosunki międzynarodowe ;3927,73; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.72 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
Kierunki humanistyczne;4613,77; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.72 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
Kierunki humanistyczne;3061,11; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.71 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
Kierunki humanistyczne;3932,02; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.71 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Energetyka i chemia jądrowa ;4629,59; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.71 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
Kierunki humanistyczne;3061,11; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.71 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Chemia ;3730,58; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.7 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Socjologia ;3919,47; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.7 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Graduate Programme in International Relations ;4655,58; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.7 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Socjologia ;4769,8; Uniwersytet Warszawski ;2018;Niestacjonarne;II stopnia; 0.7 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Bezpieczeństwo wewnętrzne ;3635,71; Uniwersytet Warszawski ;2018;Niestacjonarne;I stopnia; 0.69 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;3022,82; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.69 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
Kierunki humanistyczne;3823,89; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.69 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Psychologia ;3502,77; Uniwersytet Warszawski ;2018;Niestacjonarne;Jednolite-magisterskie; 0.68 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Zastosowania fizyki w biologii i medycynie - k. unikatowy ;4404,75; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.67 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
 Bezpieczeństwo wewnętrzne ;3567,71; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.67 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;3970,01; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.67 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
Kierunki humanistyczne;3644,31; Uniwersytet Warszawski ;2018;Niestacjonarne;II stopnia; 0.67 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Matematyka ;3998,26; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.66 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Prawo ;3970,67; Uniwersytet Warszawski ;2018;Stacjonarne;Jednolite-magisterskie; 0.66 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;4173,31; Uniwersytet Warszawski ;2018;Niestacjonarne;II stopnia; 0.66 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Samorząd terytorialny i polityka regionalna ;3513,2; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.66 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;3904,78; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.66 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
Kierunki humanistyczne;3904,78; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.66 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
Kierunki humanistyczne;3348,85; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.65 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
Kierunki humanistyczne;3852,09; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.65 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Pedagogika nauczycielska ;3261,67; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.65 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Pedagogika nauczycielska ;3319,13; Uniwersytet Warszawski ;2018;Niestacjonarne;II stopnia; 0.65 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Profilaktyka społeczna i resocjalizacja - k. unikatowy ;3360,31; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.65 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Organizowanie rynku pracy ;3229,14; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.64 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Logopedia ogólna i kliniczna ;3176,56; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.64 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Profilaktyka społeczna i resocjalizacja - k. unikatowy ;3042,33; Uniwersytet Warszawski ;2018;Niestacjonarne;II stopnia; 0.64 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Humanitarian Action ;4304,82; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.63 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;3838,33; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.63 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Politologia ;3585,65; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.62 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Prawo ;3571,85; Uniwersytet Warszawski ;2018;Niestacjonarne;Jednolite-magisterskie; 0.62 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;3625,68; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.62 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Polityka społeczna ;3152,84; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.62 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Pedagogika małego dziecka ;3251,84; Uniwersytet Warszawski ;2018;Niestacjonarne;I stopnia; 0.62 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;3234,98; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.62 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Prawo ;3452,32; Uniwersytet Warszawski ;2018;Niestacjonarne;Jednolite-magisterskie; 0.62 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;4058,11; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.61 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Geografia ;3575; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.61 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
Kierunki humanistyczne;4058,11; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.61 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Stosunki międzynarodowe ;3786,77; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.6 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
Kierunki humanistyczne;3597,92; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.6 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Międzywydziałowe studia ochrony środowiska ;3473,27; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.6 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
 Kryminologia ;2650,25; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.6 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Biologia ;3104,07; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.59 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
 Dziennikarstwo i komunikacja społeczna ;3037,53; Uniwersytet Warszawski ;2018;Niestacjonarne;I stopnia; 0.58 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Pedagogika ;3188,29; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.58 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Socjologia stosowana i antropologia społeczna ;3394,72; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.58 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;3332,3; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.56 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Dziennikarstwo i medioznawstwo ;2940,04; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.55 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Polityka społeczna ;3543,16; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.55 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;3478,6; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.54 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
Kierunki humanistyczne;3588,52; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.54 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Zastosowania fizyki w biologii i medycynie - k. unikatowy ;2298,26; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.54 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
 Etnologia i antropologia kulturowa ;3477; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.54 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Międzykierunkowe studia ekonomiczno - matematyczne ;3054,18; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.54 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Logistyka i administrowanie w mediach ;2922,77; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.53 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Geologia ;3319,78; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.52 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
 Profilaktyka społeczna i resocjalizacja - k. unikatowy ;2822,94; Uniwersytet Warszawski ;2018;Niestacjonarne;I stopnia; 0.52 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Zarządzanie środowiskiem ;3462,02; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.52 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
 Inżynieria nanostruktur ;3507,94; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.52 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Geologia poszukiwawcza ;2439,67; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.52 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
 Psychologia ;3440,69; Uniwersytet Warszawski ;2018;Stacjonarne;Jednolite-magisterskie; 0.52 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;3333,83; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.51 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Zastosowania fizyki w biologii i medycynie - k. unikatowy ;2793,44; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.5 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
Kierunki humanistyczne;3498,87; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.5 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Logistyka i administrowanie w mediach ;3340,37; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.5 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Język i społeczeństwo: interdyscyplinarne studia nad dyskursem ;3315,05; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.5 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;3136,72; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.49 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Ochrona środowiska ;2546,15; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.49 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
 Politologia ;3045,67; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.49 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Bezpieczeństwo wewnętrzne ;2851,35; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.49 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;2308,33; Uniwersytet Warszawski ;2018;Niestacjonarne;I stopnia; 0.49 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Pedagogika małego dziecka ;2194,37; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.49 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;2416; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.48 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Geologia stosowana ;2749,77; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.47 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
 Archeologia ;2008,62; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.47 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Andragogika ;2278,38; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.47 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Pedagogika społeczno - wychowawcza ;2529,71; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.47 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Fizyka ;2688,65; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.47 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
Kierunki humanistyczne;2686,43; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.47 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Pedagogika ;2954,76; Uniwersytet Warszawski ;2018;Niestacjonarne;II stopnia; 0.46 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Socjologia ;2693,73; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.45 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Biologia ;2806,81; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.44 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
Kierunki humanistyczne;2465,6; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.44 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
" Nauczanie języków obcych; specjalizacja: specjalności główne: nauczanie j.angielskiego,nauczanie j.francuskiego,nauczanie j.niemieckiego ";2646,14; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.44 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Inżynieria nanostruktur ;2603,6; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.44 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Pedagogika specjalna i edukacja społeczna ;2678,66; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.44 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Praca socjalna ;2992,79; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.44 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Kulturoznawstwo - wiedza o kulturze ;2515,17; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.43 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;2346,33; Uniwersytet Warszawski ;2018;Stacjonarne;II stopnia; 0.43 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
Kierunki humanistyczne;2189,49; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.43 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Profilaktyka społeczna i resocjalizacja - k. unikatowy ;2315,07; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.43 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;2475,9; Uniwersytet Warszawski ;2018;Niestacjonarne;I stopnia; 0.42 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Undergraduate Programme in International Relations ;2724,35; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.41 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Geografia ;2448,04; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.41 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
 Archeologia ;2538,61; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.4 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Psychologia ;2138,65; Uniwersytet Warszawski ;2018;Niestacjonarne;Jednolite-magisterskie; 0.39 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Fizyka ;1506,52; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.38 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
Kierunki humanistyczne;1825,26; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.38 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Dziennikarstwo i medioznawstwo ;2207,14; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.38 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;1937,12; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.38 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Socjologia stosowana i antropologia społeczna ;2456,67; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.38 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Międzywydziałowe studia ochrony środowiska ;2395,64; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.37 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
 Kulturoznawstwo - wiedza o kulturze ;2218,68; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.37 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
Kierunki humanistyczne;2530,62; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.37 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Gospodarka przestrzenna ;2280,53; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.34 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
Kierunki humanistyczne;1735,89; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.32 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
Kierunki humanistyczne;2111,11; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.31 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Chemia ;1938,29; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.3 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
Kierunki humanistyczne;1616,66; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.3 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Logopedia ogólna i kliniczna - k. unikatowy ;1384,96; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.28 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Etnologia i antropologia kulturowa ;1377,37; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.24 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki społeczne
 Biotechnologia ;1016,67; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.16 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki przyrodnicze
Kierunki humanistyczne;1008,97; Uniwersytet Warszawski ;2018;Stacjonarne;I stopnia; 0.15 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Informatyka ;6817,1; Uniwersytet Wrocławski ;2018;Stacjonarne;I stopnia; 1.51 ;Pierwszy prog;dolnośląskie;5,2;104;Kierunki ścisłe
